"Product ID","Product Name",Category,Sub-Category,Description
10522,"Samsung Smart Phone",Technology,Phones,Cordless
10549,"Apple Audio Dock",Technology,Phones,"with Caller ID"
10648,"Okidata Inkjet",Technology,Machines,Wireless
11645,"Hoover Stove","Office Supplies",Appliances,Red
12035,"Ikea Classic Bookcase",Furniture,Bookcases,Mobile
12069,"Hoover Stove","Office Supplies",Appliances,Red
12161,"Nokia Smart Phone",Technology,Phones,"Full Size"
13524,"Motorola Smart Phone",Technology,Phones,"Cordless Smart Phone"
13528,"KitchenAid Refrigerator","Office Supplies",Appliances,Black
13779,"Breville Refrigerator","Office Supplies",Appliances,Red
13847,"Office Star Executive Leather Armchair",Furniture,Chairs,Adjustable
13879,"Hon Executive Leather Armchair",Furniture,Chairs,Adjustable
15380,"Brother Fax Machine",Technology,Copiers,Laser
1570,"Motorola Smart Phone",Technology,Phones,"Full Size"
15896,"Panasonic Printer",Technology,Machines,Red
15953,"Cuisinart Stove","Office Supplies",Appliances,Silver
16653,"Safco Classic Bookcase",Furniture,Bookcases,Metal
16681,"Motorola Smart Phone",Technology,Phones,Cordless
16988,"Brother Ink",Technology,Copiers,Color
18241,"Motorola Smart Phone",Technology,Phones,"Full Size"
19195,"Hamilton Beach Stove","Office Supplies",Appliances,White
21191,"Harbour Creations Executive Leather Armchair",Furniture,Chairs,Adjustable
21209,"Bevis Conference Table",Furniture,Tables,"with Bottom Storage"
21286,"Breville Stove","Office Supplies",Appliances,Red
21316,"Motorola Smart Phone",Technology,Phones,"Full Size"
21586,"SAFCO Executive Leather Armchair",Furniture,Chairs,Black
220,"Samsung Smart Phone",Technology,Phones,VoIP
22096,"Brother Fax Machine",Technology,Copiers,High-Speed
22732,"Samsung Smart Phone",Technology,Phones,"with Caller ID"
22999,"Office Star Executive Leather Armchair",Furniture,Chairs,Red
23013,"Hamilton Beach Refrigerator","Office Supplies",Appliances,Black
23499,"Breville Refrigerator","Office Supplies",Appliances,White
24341,"Novimex Executive Leather Armchair",Furniture,Chairs,Red
24443,"Sharp Wireless Fax",Technology,Copiers,Digital
25026,"Brother Wireless Fax",Technology,Copiers,Laser
25314,"SAFCO Executive Leather Armchair",Furniture,Chairs,Black
25330,"Nokia Smart Phone",Technology,Phones,"Smart Phone with Caller ID"
25438,"Apple Smart Phone",Technology,Phones,Cordless
25795,"Sauder Classic Bookcase",Furniture,Bookcases,Traditional
26341,"Novimex Executive Leather Armchair",Furniture,Chairs,"Leather Armchair"
26634,"Safco Classic Bookcase",Furniture,Bookcases,Metal
26669,"Canon Copy Machine",Technology,Copiers,Color
26731,"Office Star Executive Leather Armchair",Furniture,Chairs,Red
27704,"KitchenAid Microwave","Office Supplies",Appliances,White
27962,"Ikea Classic Bookcase",Furniture,Bookcases,Mobile
28046,"Nokia Smart Phone",Technology,Phones,"with Caller ID"
28701,"Konica Inkjet",Technology,Machines,White
28879,"Bevis Conference Table",Furniture,Tables,"Fully Assembled"
28932,"Chromcraft Wood Table",Furniture,Tables,Rectangular
29047,"Hewlett Wireless Fax",Technology,Copiers,Color
29149,"SAFCO Executive Leather Armchair",Furniture,Chairs,Black
29272,"Motorola Smart Phone",Technology,Phones,"with Caller ID"
29600,"Nokia Smart Phone",Technology,Phones,"with Caller ID"
29601,"Chromcraft Conference Table",Furniture,Tables,"with Bottom Storage"
30190,"Safco Classic Bookcase",Furniture,Bookcases,Pine
30191,"Lesro Conference Table",Furniture,Tables,"with Bottom Storage"
